가맹점명,가맹점 주소,가맹점 업종,캐시백 인센티브 가맹점 여부,QR 가맹점 여부,2026년 아동건강체험활동비 사용 여부
홍스팀세차,제주특별자치도 서귀포시 대정읍 안성리 1441 1층 홍스팀세차,자동차/주유,Y,Y,N
은강횟집제주공항본점,제주특별자치도 제주시 용해로 101 1층,음식점/식음료업,Y,Y,N
하루앤하루,제주특별자치도 제주시 조천읍 조천7길 12 하루앤하루,여행/숙박,Y,Y,N
콩이점빵,제주특별자치도 제주시 애월읍 고내리 1231-4 1층 콩이점빵,음식점/식음료업,Y,N,N
탐라반찬,제주특별자치도 제주시 구좌읍 구좌로 91 7호,음식점/식음료업,Y,N,N
사슴카페,제주특별자치도 제주시 조천읍 중산간동로 698-73 2층,음식점/식음료업,Y,N,N
행복돈까스,제주특별자치도 제주시 중앙로 543 1층,음식점/식음료업,Y,N,N
타임투알엔알베이커리,제주특별자치도 제주시 한림읍 한림상로 16 1층 ,음식점/식음료업,Y,N,N
하영식당포차,제주특별자치도 제주시 월랑로4길 42 1층 하영식당포차,음식점/식음료업,Y,N,N
태강이엔지,제주특별자치도 제주시 오라일동 2449-2 태강이엔지,건축/철물,Y,N,N
수미식당,제주특별자치도 서귀포시 동홍로 149 1층,음식점/식음료업,Y,N,N
냉삼을바라봄,제주특별자치도 서귀포시 성산읍 성산중앙로 56-1 1층,음식점/식음료업,Y,N,N
키오,제주특별자치도 제주시 노형2길 47 1층 101호 키오,생활/리빙,Y,N,N
라빌레뜨,제주특별자치도 제주시 한경면 금등대안3길 42-8 .,여행/숙박,Y,N,N
신흥유통,제주특별자치도 제주시 애월읍 하귀9길 22 1층,식자재/유통,Y,N,N
라이초,제주특별자치도 제주시 이도이동 394-6 1층,음식점/식음료업,Y,N,N
보말한그릇제주공항본점보말칼국수,제주특별자치도 제주시 월성로4길 80 2층(용담이동),음식점/식음료업,Y,N,N
돈내코로95,제주특별자치도 서귀포시 돈내코로 95 (상효동),음식점/식음료업,Y,N,N
범식당,제주특별자치도 서귀포시 성산읍 한도로 66 2층,음식점/식음료업,Y,N,N
제주갈매기촌,제주특별자치도 제주시 신대로10길 32 1층 갈매기촌,음식점/식음료업,Y,N,N
황해도아바이순대,"제주특별자치도 제주시 용문로 162 , 1층(용담이동)",음식점/식음료업,Y,N,N
요가 아누브,제주특별자치도 서귀포시 동홍로 116 2층 아누브,기술/기능 교육,Y,N,N
다음약국,제주특별자치도 제주시 연북로 449 B103호 다음약국,보건/복지,Y,Y,N
무브온제주,제주특별자치도 서귀포시 중문동 2083-2 2층,문화/체육,Y,Y,N
한라에프엔비,제주특별자치도 제주시 연북로 10 1205호,식자재/유통,Y,Y,N
슬로우웰니스,제주특별자치도 제주시 연화로 16 103-1301,기타교육기관,Y,Y,N
(문화비)북케이션,제주특별자치도 제주시 조천읍 신촌북2길 36 1호,문화/체육,Y,Y,N
보물섬,제주특별자치도 제주시 한림읍 한림남3길 3 1층,음식점/식음료업,Y,Y,N
한케이헤어,제주특별자치도 제주시 우평로 331 3층 한케이헤어 외도점 ,생활/리빙,Y,Y,N
뷰티데이,제주특별자치도 제주시 삼도일동 529-11 제주특별자치도 제주시 삼도이동,생활/리빙,Y,N,N
로타리카페,제주특별자치도 서귀포시 성산읍 동류암로39번길 15 .,음식점/식음료업,Y,N,N
연세바로치과제주노형점,제주특별자치도 제주시 노형로 373 3층,보건/복지,Y,N,N
두루코퍼레이션,제주특별자치도 제주시 서회천서1길 41 제2동,식자재/유통,Y,N,N
제주탐나케이터링,제주특별자치도 서귀포시 서호중앙로 55 비3-108,음식점/식음료업,Y,N,N
그린마일커피곽지,제주특별자치도 제주시 애월읍 천덕로 88 제3동 그린마일커피곽지,음식점/식음료업,Y,N,N
다오핸즈,제주특별자치도 서귀포시 서호상로 8 1층,의류/잡화,Y,Y,N
기타공간 영어교육도시 1호점,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370 137호,기타,Y,N,N
오봉식당,제주특별자치도 제주시 독짓골6길 13 1층,음식점/식음료업,Y,N,N
제주도 게스트하우스파티 틴더타운,제주특별자치도 제주시 구좌읍 해맞이해안로 518-1 틴더타운,음식점/식음료업,Y,N,N
티유에스,제주특별자치도 서귀포시 중앙로 19 1층,의류/잡화,Y,N,N
김녕카페분식,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6 1층 김녕카페분식,음식점/식음료업,Y,Y,N
소소한기록소록101,제주특별자치도 제주시 애월읍 유수암평화길 134 101동 101호,여행/숙박,Y,N,N
다온,제주특별자치도 서귀포시 표선면 표선동서로 222-1 이층  다온카페,음식점/식음료업,Y,N,N
비엘리플라워,제주특별자치도 제주시 오광로 164 1층,생활/리빙,Y,N,N
매화당,제주특별자치도 제주시 도남로7길 38 1층,음식점/식음료업,Y,N,N
비비큐(BBQ)제주삼도점,"제주특별자치도 제주시 서광로27길 11 1,2층",음식점/식음료업,Y,N,N
제주해선담,제주특별자치도 제주시 서해안로 264 2층 제주해선담,음식점/식음료업,Y,N,N
휘글리후스,제주특별자치도 서귀포시 대정읍 무영로228번길 17-7 빨간지붕 두채,음식점/식음료업,Y,Y,N
스테이세연,제주특별자치도 제주시 한림읍 월령2길 44 단독주택,여행/숙박,Y,Y,N
퓨어클린,제주특별자치도 서귀포시 서호로 60-13 1층,가전/통신,Y,Y,N
현우드원목가구,제주특별자치도 서귀포시 성산읍 난고로 187 현우드원목가구,가구/인테리어,Y,Y,N
빈이국수,제주특별자치도 제주시 사라봉길 28 1층 빈이국수,음식점/식음료업,Y,Y,N
철이네포차,제주특별자치도 제주시 우정로15길 27 1층,음식점/식음료업,Y,Y,N
성윤국가대표아구찜앤알곤이찜,제주특별자치도 제주시 우정로15길 27 1층,음식점/식음료업,Y,N,N
제주메가약국,제주특별자치도 제주시 연삼로 130 제주메가약국,보건/복지,Y,N,N
김녕용암해수사우나매점,제주특별자치도 제주시 구좌읍 김녕로21길 8 2층,식자재/유통,Y,N,N
웬도버어학원,제주특별자치도 서귀포시 대정읍 하모상가로 41 3층,외국어/언어,Y,Y,N
웨이브팩토리,제주특별자치도 제주시 조천읍 함덕남14길 26-2 1층,의류/잡화,Y,N,N
위미2리어촌계활어회센터,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-37 2층,음식점/식음료업,Y,N,N
이정의탑댄스스포츠스쿨,제주특별자치도 제주시 중앙로 265 지하 1층 성우빌딩,문화/체육,Y,N,N
퀸즈헤어,제주특별자치도 서귀포시 이어도로 945-1 1층,생활/리빙,Y,N,N
동대문쇼핑,제주특별자치도 서귀포시 중앙로 81-1 1층,의류/잡화,Y,N,N
야키토리히히,제주특별자치도 제주시 광양8길 17 1층 야키토리히히,음식점/식음료업,Y,N,N
(주)정암레저,제주특별자치도 제주시 서해안로 630 용두암해수랜드,생활/리빙,Y,N,N
호ㆍ땅올레,제주특별자치도 제주시 동문로 2 10  1층104호,기타,Y,N,N
흘러제주,제주특별자치도 제주시 오복2길 31-14 1층,음식점/식음료업,Y,N,N
GS25효돈사거리점,제주특별자치도 서귀포시 하효동 631-2 GS25효돈사거리점,식자재/유통,Y,N,N
일러스트 게임 미술학원,제주특별자치도 제주시 삼무로 2 3층,예술 교육,Y,N,N
더루트 공부방,제주특별자치도 제주시 우정로 17 506호,입시/교습학원,Y,N,N
소소반점,제주특별자치도 제주시 아란5길 18 1층101호,음식점/식음료업,Y,Y,N
진옥정,제주특별자치도 제주시 노형1길 39 1층 진옥정카페,음식점/식음료업,Y,Y,N
백두이엔지,제주특별자치도 제주시 화북이동 2647-1 .,건축/철물,Y,Y,N
최선유통,제주특별자치도 제주시 일도이동 371 다동 지하1층,의류/잡화,Y,Y,N
제주행복유통,제주특별자치도 서귀포시 남원읍 신례동로 51 104동,식자재/유통,Y,Y,N
한우고을정육식당,제주특별자치도 서귀포시 성산읍 신천동로13번길 27 한우고을정육식당,식자재/유통,Y,Y,N
한우고을정육식당,제주특별자치도 서귀포시 성산읍 신천동로13번길 27 한우고을정육식당,음식점/식음료업,Y,Y,N
도원흑염소요리(본점),제주특별자치도 서귀포시 대정읍 도원로 187 단독주택 ,음식점/식음료업,N,Y,N
제주뀰동산,제주특별자치도 서귀포시 남원읍 신례동로 51 104동,식자재/유통,Y,Y,N
활어회센터 위미로,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-37 1층,음식점/식음료업,Y,Y,N
남원돌솥밥,제주특별자치도 서귀포시 남원읍 남원체육관로 309 1층,음식점/식음료업,Y,N,N
신창풍차해안도로싱계물휴게소오징어덕장,제주특별자치도 제주시 한경면 한경해안로 502 1층,음식점/식음료업,Y,N,N
노피곰 골든렉시움교실,제주특별자치도 서귀포시 서홍로178번길 96 골든렉시움 104동402호 ,입시/교습학원,Y,Y,N
진보수산,제주특별자치도 서귀포시 중정로61번길 6 (서귀동),식자재/유통,Y,N,N
도이도가,제주특별자치도 제주시 오복4길 38 1층 도이도가미용실,생활/리빙,Y,Y,N
제주도깨비무한리필삼화점,제주특별자치도 제주시 동화로 74 1층,음식점/식음료업,Y,N,N
해안과원,제주특별자치도 제주시 해안마을5길 46-59 .,기타,Y,N,N
골드팟,제주특별자치도 제주시 애월읍 장전로 109-9 1층,귀금속,Y,Y,N
무해하다공방,제주특별자치도 서귀포시 남원읍 신례로 340 1층,기타,Y,N,N
클린해바스,제주특별자치도 제주시 도두항서7길 5-10 908호,기타,Y,Y,N
섬빛수학교습소,제주특별자치도 제주시 우도면 영일길 54 섬빛수학교습소,입시/교습학원,Y,N,N
파란,제주특별자치도 서귀포시 대정읍 가파로 71-1 1층,음식점/식음료업,Y,N,N
학창시절,제주특별자치도 제주시 신광로4길 15 지하1층,음식점/식음료업,Y,N,N
히라인제주(HIRA IN JEJU),제주특별자치도 서귀포시 태평로 15 102호 ,의류/잡화,Y,N,N
맛도리푸드,제주특별자치도 제주시 조천읍 남조로 1712 1층,음식점/식음료업,Y,N,N
카페봄봄영어교육도시점,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8 E동 135호 (제주아이파크스위트),음식점/식음료업,Y,N,N
고이정보리짚불구이,제주특별자치도 제주시 애월읍 애월로 6 1층,음식점/식음료업,Y,N,N
소오커피,제주특별자치도 제주시 중앙로22길 10 1층 소오커피,음식점/식음료업,Y,Y,N
목공TV,제주특별자치도 서귀포시 대정읍 도원남로 110-11 목공TV,기타교육기관,Y,N,N
제주코딩학원,제주특별자치도 제주시 과원북4길 37 6층 602호,기술/기능 교육,Y,Y,N
제주도배대머리집수리,제주특별자치도 제주시 애월읍 하귀9길 45 110동301호,가구/인테리어,Y,Y,N
돌맹이수산,제주특별자치도 제주시 한림읍 한림해안로 686 1층,식자재/유통,Y,Y,N
온다비빔밥&도시락,제주특별자치도 서귀포시 대정읍 상모로273번길 42 상가101호 온다비빔밥,음식점/식음료업,Y,Y,N
뷰잉영어,제주특별자치도 제주시 서광로29길 25 장원월드컵아파트 101동,입시/교습학원,Y,Y,N
동문제일수산,제주특별자치도 제주시 중앙로13길 9 1층,식자재/유통,Y,Y,N
이노필라테스,제주특별자치도 제주시 삼봉로2길 64 2층 이노필라테스,문화/체육,Y,Y,N
가시리동산집,제주특별자치도 서귀포시 표선면 가시리 2076-1 가시리동산집,음식점/식음료업,Y,Y,N
베베바레(veve barre),제주특별자치도 서귀포시 서문로 31 3층,문화/체육,Y,Y,N
이오르,제주특별자치도 제주시 도령로 157 2층,의류/잡화,Y,Y,N
오도르,제주특별자치도 제주시 한림읍 한림상로 237-1 .,기타,Y,Y,N
아라네일레쉬,제주특별자치도 제주시 서광로3길 6 1층 아라네일,기타,Y,Y,N
돌담길찻집,제주특별자치도 서귀포시 안덕면 일주서로 2015 1층,음식점/식음료업,Y,Y,N
진도희,제주특별자치도 서귀포시 중정로61번길 23 1층,음식점/식음료업,Y,N,N
우리아이,제주특별자치도 제주시 조천읍 신조로 22 단독상가 우리아이,기타,Y,N,N
해돋이농원,제주특별자치도 서귀포시 남원읍 남원리 2088 하우스,기타,Y,N,N
달팽이수학교습소,제주특별자치도 제주시 남광로2길 39 105호B,입시/교습학원,Y,N,N
티스테이션성산점,제주특별자치도 서귀포시 성산읍 서성일로 1245 티스테이션 성산점,자동차/주유,Y,N,N
헬로남생이,제주특별자치도 제주시 조천읍 신촌리 2493-1 헬로남생이,음식점/식음료업,Y,N,N
피굽남,제주특별자치도 서귀포시 성산읍 고성동서로45번길 13 1층,음식점/식음료업,Y,N,N
백암숯불집,제주특별자치도 제주시 구좌읍 해맞이해안로 1402 1츤,음식점/식음료업,Y,N,N
홍숙상회,제주특별자치도 제주시 관덕로 64-1 (이도일동),식자재/유통,Y,N,N
핑크쟁이공방,제주특별자치도 제주시 신광로4길 41 나동101호 ,기타,Y,N,N
가마치통닭중문점,제주특별자치도 서귀포시 천제연로 238 1층,음식점/식음료업,Y,N,N
아이룰수학교습소,제주특별자치도 제주시 동광로17길 5 1층,입시/교습학원,Y,Y,N
콩이ㅡㄹ,제주특별자치도 서귀포시 천제연로 236 1층,의류/잡화,Y,Y,N
원더풀꽈배기 제주본점,"제주특별자치도 제주시 연화로 41 1층, 원더풀꽈베기 제주본점",음식점/식음료업,Y,Y,N
매운집불닭,제주특별자치도 제주시 아라일동 6115-4 1층,음식점/식음료업,Y,Y,N
단아함헤어,제주특별자치도 제주시 인다10길 28 2층,기타,Y,Y,N
제주그린드론,제주특별자치도 제주시 동성길 62 102호,기타,Y,Y,N
트랙9 마음심리상담센터,제주특별자치도 제주시 산천단남2길 85-1 501호,기타,Y,N,N
라라블랑,제주특별자치도 제주시 연신로 106 103호,의류/잡화,Y,N,N
크레이지빙수 신제주점,제주특별자치도 제주시 노형로 340 1층,음식점/식음료업,Y,N,N
제주식물그림,제주특별자치도 제주시 무근성7길 20 2층,예술 교육,Y,Y,N
만나보쌈족,제주특별자치도 서귀포시 중앙로 138 (동홍동),음식점/식음료업,Y,N,N
선물가게 바나나 신제주점,제주특별자치도 제주시 노연로 94 1층,의류/잡화,Y,N,N
이디야커피일도점,제주특별자치도 제주시 연수로3길 3 1층,음식점/식음료업,Y,N,N
노가리앤비어 삼도점,제주특별자치도 제주시 서광로13길 9 1층 (삼도일동),음식점/식음료업,Y,N,N
잡초바이오 제주,제주특별자치도 제주시 조천읍 교래리 476 조천읍 교래리 474,기타,Y,N,N
노형동태탕코다리찜,제주특별자치도 제주시 월랑로4길 6 1층,음식점/식음료업,Y,N,N
산방산원더랜드,제주특별자치도 서귀포시 안덕면 사계남로216번길 52-34 .,문화/체육,Y,N,N
자장자장민박,제주특별자치도 서귀포시 일주서로 1318-4 2층,여행/숙박,Y,N,N
카페마노앤디또 신창점,제주특별자치도 제주시 한경면 신한로 17 1층,식자재/유통,Y,N,N
협재혼술다찌방,제주특별자치도 제주시 한림읍 한림로 335 D동 2층,음식점/식음료업,Y,N,N
에어핏,제주특별자치도 서귀포시 토평로112번길 50-4 1층,가전/통신,Y,N,N
채정하곱창막창전문구좌점,"제주특별자치도 제주시 구좌읍 일주동로 3103 , 1층",음식점/식음료업,Y,N,N
신쌤주산교실,제주특별자치도 제주시 신산로15길 50 1층 신쌤주산교실 ,입시/교습학원,Y,Y,N
지엔방미디어,제주특별자치도 제주시 신대로 145 맨써빌딩 4층 5-06호,가전/통신,Y,Y,N
카페휘,제주특별자치도 제주시 한림읍 월령안길 28 카페휘,음식점/식음료업,Y,Y,N
진가네,제주특별자치도 제주시 원노형9길 16 1층 진가네,음식점/식음료업,Y,N,N
스피리투스,제주특별자치도 제주시 신성로 82-4 b1,가전/통신,Y,N,N
배꼽시계,제주특별자치도 서귀포시 태평로353번길 4 배꼽시계,음식점/식음료업,Y,N,N
필전자,제주특별자치도 제주시 청귤로2길 25 1층상가 ,가전/통신,Y,Y,N
제주물품보관소,제주특별자치도 제주시 원노형2길 29 1층,기타,Y,N,N
호텔징크,제주특별자치도 서귀포시 서귀동 318-17 호텔 징크,여행/숙박,Y,N,N
하루세끼,제주특별자치도 서귀포시 신효로 30 라오체효돈 102호,음식점/식음료업,Y,Y,N
비커즈노와,제주특별자치도 제주시 신설로2길 2 1층 비커즈노와 헤어스튜디오,생활/리빙,Y,Y,N
청년감자탕순대국 제주아라점,제주특별자치도 제주시 중앙로 601 1층 청년감자탕순대국 제주아라점,음식점/식음료업,Y,Y,N
형제공조테크,제주특별자치도 제주시 임항로 268 601호,기타,Y,Y,N
포레홈케어,제주특별자치도 제주시 애월읍 유수암로 38 1층,건축/철물,Y,Y,N
제이제이해상 주식회사오소재제주점,제주특별자치도 제주시 동문로 38 1층,음식점/식음료업,Y,Y,N
제주별담미술,제주특별자치도 서귀포시 성산읍 혼인지로 30 별담미술,예술 교육,Y,Y,N
Beam language studio,제주특별자치도 서귀포시 동홍북로 12 1층,입시/교습학원,Y,Y,N
북위드지니,제주특별자치도 서귀포시 안덕면 동광로 96 1층,기타교육기관,Y,Y,N
산방농수산,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73 산방산공영주차장내 산방농수산,식자재/유통,Y,Y,N
뉴트커피,제주특별자치도 제주시 선덕로5길 25 1층 102호,음식점/식음료업,Y,Y,N
현대전자서비스,제주특별자치도 제주시 일주서로 7860 제주일주서로7860 1호,가전/통신,Y,N,N
더싱글,제주특별자치도 제주시 한림읍 한림로 509 더싱글,음식점/식음료업,Y,N,N
제이앤디자인,제주특별자치도 제주시 청귤로1길 13 1층 가운데상가,디자인/인쇄,Y,N,N
만남노래연습장,제주특별자치도 서귀포시 동문동로 35 2층,기타,Y,N,N
노군꼬치서귀포신시가지점,제주특별자치도 서귀포시 김정문화로27번길 10-1 1층 노군꼬치서귀포신시가지점,음식점/식음료업,Y,N,N
그린클린,제주특별자치도 제주시 동광로21길 41 지하,기타,Y,N,N
하우스픽,제주특별자치도 제주시 한림읍 한림남2길 27 103호,입시/교습학원,Y,Y,N
승룡이호,제주특별자치도 제주시 우령서로16길 56-12 1층,기타,Y,N,N
승룡수산,제주특별자치도 제주시 우정로 60 남쪽 1층,기타,Y,N,N
제주접짝뼈국,제주특별자치도 제주시 한경면 두신로 145 제주접짝뼈국,음식점/식음료업,Y,N,N
이치니치서귀포,제주특별자치도 서귀포시 천지로 4 1층 이치니치,음식점/식음료업,Y,N,N
혜복,제주특별자치도 제주시 월랑로4길 16 101호,음식점/식음료업,Y,N,N
라움뮤직스튜디오,제주특별자치도 제주시 번영로 480 2층,예술 교육,Y,Y,N
테우닷,제주특별자치도 제주시 서해안로 24 1층,음식점/식음료업,Y,Y,N
아이보리안경,제주특별자치도 제주시 연북로 449 B102 아이보리안경,기타,Y,Y,N
꾸덕제과 제주점,제주특별자치도 제주시 구좌읍 해맞이해안로 466 1층 꾸덕제과 제주점,음식점/식음료업,Y,Y,N
오브먼트왁싱,제주특별자치도 제주시 고산동산5길 10 2층,생활/리빙,Y,Y,N
제주거리,제주특별자치도 제주시 구좌읍 김녕로 50-5 1층,가전/통신,Y,N,N
GS25일도지구점,제주특별자치도 제주시 태성로 28-1 1층,식자재/유통,Y,N,N
용용이네고사리육개장,제주특별자치도 서귀포시 중앙로4번길 4 용용이네고사리육개장,음식점/식음료업,Y,N,N
보리보리,제주특별자치도 서귀포시 표선면 표선동서로193번길 49-1 1층,음식점/식음료업,Y,N,N
욜랑,제주특별자치도 서귀포시 효돈로 101 바깥채,의류/잡화,Y,N,N
유메잡화점,제주특별자치도 제주시 용담로 14 1층 유메 잡화점,의류/잡화,Y,N,N
스카이호프,"제주특별자치도 서귀포시 동문로 63 ,1층",음식점/식음료업,Y,N,N
에스칼프린트 제주시청점,제주특별자치도 제주시 광양13길 6-2 제1호,디자인/인쇄,Y,N,N
레벨업영어학원,제주특별자치도 제주시 영평동 1842-5 근생지 04-1호,입시/교습학원,Y,Y,N
마담나탈리소셜클럽,제주특별자치도 제주시 한림읍 협재리 1398 1층,음식점/식음료업,Y,N,N
황선생수학교실,제주특별자치도 서귀포시 안덕면 화순로56번길 26-4 설명수학교실,기타교육기관,Y,Y,N
더벤티제주연오점,제주특별자치도 제주시 연오로 95 1층 더벤티,음식점/식음료업,Y,Y,N
영도스포츠,제주특별자치도 서귀포시 대정읍 중산간서로 2432 1층 영도스포츠,의류/잡화,Y,N,N
용인대 아라 유도관,"제주특별자치도 제주시 아란8길 5-2 2층, 용인대 아라 유도관",문화/체육,Y,Y,N
지에스(GS)25 제주신협연수원점,제주특별자치도 제주시 애월읍 신엄안3길 135 지하1층,식자재/유통,Y,N,N
느믐,제주특별자치도 제주시 구남동8길 11 1층 느믐,생활/리빙,Y,Y,N
집밥,제주특별자치도 서귀포시 문부로 32 (동홍동),음식점/식음료업,Y,N,N
반짝미술교습소,제주특별자치도 서귀포시 동홍남로 24-4 1층,예술 교육,Y,Y,N
봉개분식사랑,제주특별자치도 제주시 번영로 524 1층,음식점/식음료업,Y,N,N
로뎀카페,제주특별자치도 제주시 동광로 34 샬롬호텔 1층,음식점/식음료업,Y,N,N
이치니치,제주특별자치도 제주시 애월읍 애월로11길 7 1층,음식점/식음료업,Y,N,N
청춘예찬 제주혼술바,제주특별자치도 제주시 관덕로 8 청춘예찬 ,음식점/식음료업,Y,N,N
옴디에고,제주특별자치도 제주시 구좌읍 평대7길 39-1 3호 상가,의류/잡화,Y,N,N
다올물류,제주특별자치도 서귀포시 남원읍 태위로 186 다올유통,식자재/유통,Y,N,N
이응,제주특별자치도 제주시 과원북4길 91 403B,생활/리빙,Y,Y,N
씨유제주노형월산점,제주특별자치도 제주시 노형로 203 1층,식자재/유통,Y,N,N
마일스 탑동점,제주특별자치도 제주시 탑동로2길 3 1층,음식점/식음료업,Y,N,N
유얼스 창작 스튜디오,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370 이노에듀파크 316호,기타교육기관,Y,N,N
펜펜,제주특별자치도 제주시 복지로1길 13 1층,음식점/식음료업,Y,N,N
코크니셰,제주특별자치도 제주시 선덕로8길 26 1층 가동 103호,음식점/식음료업,Y,N,N
프롬프트 제주일도점,"제주특별자치도 제주시 고마로 21 107호(일도이동, 서반아파트)",음식점/식음료업,Y,N,N
보라식육점,제주특별자치도 제주시 동광로19길 22 (일도이동) 보라식육점,식자재/유통,Y,N,N
추추추바로척추건강케어센터,제주특별자치도 제주시 서광로2길 15 승우빌딩 201호,문화/체육,Y,N,N
남원천지합기도,제주특별자치도 서귀포시 남원읍 남한로 14 2층,문화/체육,Y,N,N
한우옥,제주특별자치도 서귀포시 김정문화로 1 한우옥,음식점/식음료업,Y,Y,N
이유외국어교습,제주특별자치도 제주시 오라로14길 21 102호,기타교육기관,Y,N,N
이자카야 시선 서귀포명동로점,제주특별자치도 서귀포시 명동로 12 시선 명동로점,음식점/식음료업,Y,N,N
테일러메이드 제주점,제주특별자치도 제주시 연북로 267 1층,의류/잡화,Y,N,N
명월로에서,제주특별자치도 제주시 한림읍 명월로1길 3-4 단독주택,여행/숙박,Y,N,N
비타민,제주특별자치도 제주시 한림읍 한림로 687 2층 비타민노래연습장,기타,Y,N,N
오늘도 맑음 청소,제주특별자치도 제주시 이도이동 409-10 2층,기타,Y,Y,N
대륙식품유통,제주특별자치도 서귀포시 동홍로 184 대륙식품유통,식자재/유통,Y,Y,N
바농질,제주특별자치도 서귀포시 성산읍 삼달신풍로 109 1층,의류/잡화,Y,Y,N
조천당,제주특별자치도 제주시 조천읍 일주동로 992-1 1층,음식점/식음료업,Y,Y,N
제주인홈,제주특별자치도 제주시 수덕로 35 1층 제주인홈,식자재/유통,Y,Y,N
하트맘케어,제주특별자치도 제주시 신대로8길 5 2층 하트맘케어,보건/복지,Y,Y,N
휴앤풀,제주특별자치도 제주시 한경면 판포2길 33 1층,여행/숙박,Y,Y,N
제주911홈케어,제주특별자치도 제주시 아연로 522 201동304호,가전/통신,Y,Y,N
동백서가,제주특별자치도 서귀포시 안덕면 화순재남로 31-10 101-101,기타,Y,Y,N
주식회사 스타페이지,제주특별자치도 제주시 우정로4길 35 502호,기타,Y,Y,N
쇼어261,제주특별자치도 제주시 한경면 신한로 59-11 2층,여행/숙박,Y,Y,N
그림책 좋아하는 하루씨,제주특별자치도 제주시 인다5길 11-7 1층 102호,문화/체육,Y,Y,N
제주만족(중문점),제주특별자치도 서귀포시 중문상로 28 1층,음식점/식음료업,Y,Y,N
북경장,제주특별자치도 제주시 사라봉9길 14 북경모텔 ,여행/숙박,Y,Y,N
라필라스튜디오,제주특별자치도 제주시 애월읍 하귀9길 2 모닝씨티207호,문화/체육,Y,Y,Y
